"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"1,620","사천시인재육성장학재단","꿈드림장학생","지자체","장학금","소득구분","해당없음","해당없음","해당없음"," * 신입생수능성적 4등급 이내가 2개 영역 이상인 자 또는 고등학교 내신 등급이 평균 5등급 이내인 자 * 재학생직전 2학기 성적 3.0이상인 자","법정저소득층중위소득 70% 이하","1000000원","관내 고등학교 출신 학생으로서 전문대 이상 대학 신입생 및 재학생","보호자가 공고일 현재 관내에 주소를 두고 있는 자","해당없음","40명","해당없음","해당없음","신청서고등학교 졸업(예정)증명서성적확인서본인 및 보호자의 주민등록표 대학 신입생 또는 재학생임을 증명하는 서류법정저소득층 또는 소득을 확인할 수 있는 서류","http://www.sacheon.go.kr","2023-02-06","2023-02-10"
"1,621","공주시한마음장학회","공주사랑장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","직전학기 12학점 이상 취득한 자로 성적이 4.5만점 기준 2.5(C) 이상인 학생","해당없음","1000000원","공주대학교/ 공주교육대학교 학생공고일 기준 재학생효/ 선행/ 봉사 등 타의 모범이 되는 학생으로 1회에 한해서 지급","공고일 기준 관외에 1년 이상 주민등록 이후 공주시로 전입하고/ 전입한지 6개월(2023.4.13 이전 전입) 경과한 학생","해당없음","30명 (공주대 : 21명/ 공주교대 : 9명)","학기에 휴학하는 경우학교에서 징계처분을 받거나 자퇴 등으로 더 이상 학업을 수행하지 않는 경우장학금에 해당하는 학기에 휴학하는 경우추천권자 및 학교장으로부터 중지 요구가 있을 경우 분야별 중복신청 불가","대학총장 추천","장학금 신청서개인정보 수집/이용/제공 및 조회 동의서 1부신청인 서약서 1부주민등록 등본 또는 초본 1부가족관계증명서재학증명서통장사본추가 해당 장학금 분야 서류 * 자세한 사항은 홈페이지 참고","http://www.gongju.go.kr","2023-10-16","2023-11-03"
"1,622","재단법인 세종특별자치시인재육성평생교육진흥원","다문화가정·북한이탈주민 장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","최대 1000000원","세종시 관내 대학교 재학생「다문화가족지원법」제2조 및 제14조의2에 해당하는 다문화 가정「북한이탈주민의 보호 및 정착지원에 관한 법률」제2조제1항에 해당하는 북한이탈주민","공고일 기준 1년 이상 세종시 계속 거주자 (부/ 모 또는 본인)","동점자기준 : 소득배점이 높은자 > 세종시 거주기간 > 학년(나이) 높은 자 ","총 15명 * 초/중/고등학생 선발인원 포함","휴학생/ 수료생","학과 또는 학부장","장학금 지원 신청서개인정보 수집·이용·제공 및 조회 동의서서약서추천서주민등록등본가족관계증명서통장사본재학증명서학자금 지원구간 통지서대상 증빙서류(해당자) * 자세한 사항은 첨부파일 참조","http://sjhle.or.kr/","2023-09-11","2023-10-19"
"1,623","재단법인 수인장학재단","장학생","민간(기타)","장학금","기타","해당없음","해당없음","해당없음","해당없음","해당없음","각 1500000원","23-1학기 정규학기 재학생으로 등록을 완료한 자23-1학기 등록금 실납부액이 1/500/000원 이상인 자","해당없음","22-1학기 국가장학금 소득분위가 낮은 자국가장학금 소득분위가 동일할 경우 등록금 실납부 금액이 높은 자","장애의 정도가 심한 자 1명학업성적은 우수하나 가정형편이 어려우며 품성이 타의 모범이 되는 자 1명","정규학기 초과등록자/ 학점등록자/ 미등록자/ 미등록휴학자","해당없음","장학금신청서추천서자기소개서성적증명서생활보호대상자증빙서류장애인 증명서 * 자세한 내용은 첨부파일 참고","www.sooin.or.kr/","2023-03-08","2023-03-16"
"1,624","(재)인천인재평생교육진흥원","인천대교 희망 장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음"," * 재학생직전학기 성적이 2.5/4.5 (2.3/4.3) 이상 * 편입 후 첫학기 재학생 * 자세한 사항은 첨부파일 참고","기초생활수급자 차상위계층 가정의 학생","1000000원","인천소재 고등학교를 졸업한 관내·외 대학교 재학생","영종동/ 영종1동/ 용유동/ 운서동에 거주하고 있는 관내·외 대학교 정규학기 재학생선발 공고기준일 현재 학생 또는 부모의 주민등록 주소지가 인천인 자","서류심사 : 가정형편 기준과 학교 성적 기준을 충족한 학생 중 성적 고득점자 상위 20명 선발최종선발 : 장학생 선발심사위원회 심의","20명","동일연도 내 재단에서 실시하는 장학금 중복 지원 및 선발 불가하반기 장학금 동시 지원 불가'22년도 재단 장학생은 후순위 심사1가구 1인 지원휴학생/ 수료생/ 초과학기생/ 졸업유예생/ 대학원생 * 자세한 사항은 첨부파일 참조","해당없음","지원신청서성적증명서재학증명서직전학교 졸업증명서주민등록등본증명서 (기초생활수급자/ 차상위계층)보통예금 통장 사본 * 자세한 사항은 첨부파일 참조","www.itle.or.kr","2023-04-03","2023-04-17"
"1,625","(재)송강장학회","구평회특지장학금","민간(기타)","장학금","기타","특정대학","해당없음","해당없음","직전학기(2022년 2학기) 성적 또는 평균평점 성적 기준 학부생 2.7 이상/ 대학원생 3.3 이상","해당없음","한 학기당 3000000원 이내","진주고등학교/ 서울고등학교 졸업생 중 서울대학교에 입학 또는 재학중인 학생","해당없음","해당없음","해당없음","해당없음","해당없음","재단 장학생 지원서추천서자기소개서재학증명서/ 성적증명서(최근3년)부모소득 관련 서류 * 자세한 내용은 첨부파일 참고","http://www.songgang.or.kr/","2023-01-11","2023-01-18"
"1,626","(재)송파구 인재육성 장학재단","한체대장학생","지자체","장학금","특기자","해당없음","해당없음","해당없음","해당없음","해당없음","2000000원","한국체육대학교 재학생 중 총장 추천의 체육 유망주","공고일 현재 송파구에 연속 3년 이상 거주하고 있는 한국체육대학교 재학생","1차: 추천권자 추천2차: 실태조사/ 서류심사 등","5명","휴학생/ 평생교육기관/ 학점은행제/ 해외소재학교 제외가구당 1명 선발직전 학기 송파구인재육성장학재단 장학금 수여자 제외국가장학금 대상자 중복수혜 가능","총장 추천","장학생 신청서통장 사본장학생의 주민등록초본/등본개인정보 수집 이용 제공 조회 동의서재학증명서/ 성적증명서/ 등록금 납부영수증3년 이내 대회요강/ 입상수상자료 * 자세한 내용은 첨부파일 참고","http://janghak.songpa.go.kr/main.jsp","2023-05-01","2023-05-19"
"1,627","인석장학회","장학생","민간(기타)","장학금","성적우수","해당없음","해당없음","해당없음","12학점 이상 이수한 자로 총 평균평점 및 직전학기 학점 4.5만점 기준으로 3.3 이상인 자","유형 II 지원자는 소득구간 증명서상 0분위부터 6분위에 해당한 자만 신청할 수 있음"," * 최대 3000000원유형I 장학금 : 등록금 지원 (등록금 범위 내에서만 중복수혜 가능)유형II 장학금 : 생활비 지원 (이중수혜 가능) * 각 1500000원 분할 지급","대한민국 소재 대학의 재학생23년 1학기 복학예정 휴학생 및 대한민국 국적자","해당없음","해당없음","00명","장학금 지원 신청은 유형 I (등록금) 또는 유형 II (생활비) 둘 중 하나만 신청 가능 (이중지원배제)","해당없음"," * 인석장학재단 홈페이지 (자료실 양식/문서자료) 참고","https://www.inseok.org/","2023-03-06","2023-03-17"
"1,628","앤코이교육재단","희망장학금","민간(기타)","장학금","기타","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)","해당없음","해당없음","해당없음","해당없음","1000000 ~ 5000000원","앤코이 교육재단의 비전에 공감하며 의식 성장에 열려있는 국내 소재 대학생(휴학생가능)","해당없음","해당없음","23명","대학원생","해당없음","장학생 신청서재학증명서세전메(동영상) youtube 업로드경제적 상황 증빙서류(법정저소득측 지원자에 한함)장애인 증명서(필수 제출 아님/신청 학생 본인에 택함) *자세한 사항은 홈페이지 참조 ","https://ncoi.or.kr","2023-06-30","2023-07-20"
"1,629","주한독일고등교육진흥원","전공분야 대졸자 장학금(음악)","관계부처","장학금","성적우수","해당없음","해당없음","해당없음"," * 홈페이지 참조"," * 홈페이지 참조"," * 홈페이지 참조"," * 홈페이지 참조"," * 홈페이지 참조 "," * 홈페이지 참조"," * 홈페이지 참조"," * 홈페이지 참조"," * 홈페이지 참조"," * 홈페이지 참조","https://www.daad.or.kr/ko/","2023-07-26","2023-09-08"
"1,630","(재)과천시 애향장학회","농업인장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","1인당 3000000원","농업에 종사하는 직계 가족의 학생농지원부 제출 대상 학생","공고일 현재 가족이 계속하여 2년이상 과천시에 거주하고 있는 시민의 직계비속","해당없음","2명 ","국가 또는 지방자치단체나 타 기관/단체로부터 장학금 및 학비보조비/학교장학금을 받는 학생*다만 장학금 총액이 등록금보다 적을 경우에는 예외*기초생활수급자(대학생) 중 국가장학금 수혜자격 대상은 제외","해당없음","장학생선정신청서주민등록등본주민등록초본직전학년 성적증명서(신입생의 경우 고등학교 3학년 성적확인서)지방세 세목별 과세증명서(재산세)건강/장기요양보험료 납부확인서건강보험증 사본 또는 건강보험 자격확인서가족관계증명서농지원부재학증명서(신입생은 합격통지서/ 복학생은 복학예정증명서)개인정보 수집 이용 제공 및 조회 동의서 * 신청서 교부 : 과천시 애향장학회 사무국 및 홈페이지 * 접수처 : 재단법인 과천시애향장학회 사무국(과천시 의회청사 1층) * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://www.gccity.go.kr","2023-02-13","2023-02-15"
"1,631","한국장학재단","국가우수장학금(이공계) 성적우수","한국장학재단","장학금","성적우수","해당없음","해당없음","해당없음"," * 성적우수유형수시입학자고등학교 과정 중 이수한 수학/ 과학 과목의 석차등급 평균 상위자 추천 * 성적우수유형정시입학자2023년 대학수학능력시험 수학/ 과학탐구영역 2개 과목 등급 상위자 추천","해당없음","매 학기별 장학금 전액 지원 * 기초생활수급자는 학기당 2500000원 추가지원","대한민국 국적을 소지한 자국내 4년제 대학교 자연과학 및 공학계역 학과에 재학중인 1학년","해당없음","해당없음","00명","해당없음","대학추천","전인적 인재성장 계획서이공계열 활동내역 보고서 * 자세한 사항은 홈페이지 또는 각 학교 장학팀 문의","http://www.kosaf.go.kr/","2023-04-28","2023-05-16"
"1,632","수곡장학회","장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","해당없음","해당없음","전체 학년 평균 성적이 B학점(3.0)이상인 자","해당없음","2000000원 (2회 지급) ","해당없음","남원 출신(본인/부모)으로 남원 관내 초등학교나 중학교를 졸업한 자타지 출신으로 남원 관내 초등학교나 중학교를 졸업하고 주소가 남원인 자","해당없음","4명 ","해당없음","해당없음","수곡장학생 지원신청서 1부성적증명서부.모 본인 주민등록등본 1부부.모 각각 건강보험료납부확인서 1부국민기초생활보장수급자 또는 차상위계층증명서 1부자기소개서 1부 ","http://sugok.co.kr","2023-01-02","2023-01-27"
"1,633","공주시한마음장학회","다문화가정자녀장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","직전학기 2.0이상인 학생","해당없음","1000000원","부모 중 한 사람이 외국인인 가정의 자녀신청인원 초과시 우선 선발기준 : 다자녀> 고학년> 취득학점(직전학기)","관내 소재 초·중·고등학교 재학생 또는 졸업자장학생 선발 공고일 기준 장학생 또는 장학생의 보호자(부모/ 조부모/ 외조부모/ 실양육자)가 공주시에 1년 이상 계속해서 주민등록을 둔 자 ","(재)공주시한마음장학회 운영세칙의 선발기준에 의거 (재)공주시한마음장학회 이사회에서 선발장학생 선발명단은 공주시한마음장학회 홈페이지에 게시(개별통지 안함)","5명","학기에 휴학하는 경우학교에서 징계처분을 받거나 자퇴 등으로 더 이상 학업을 수행하지 않는 경우장학금에 해당하는 학기에 휴학하는 경우추천권자 및 학교장으로부터 중지 요구가 있을 경우 분야별 중복신청 불가","읍면동장 추천천","장학금 신청서개인정보보호 동의서주민등록등본재학증명서신청인 서약서관내 졸업증명서통장사본(보호자 통장 가능)기타 추가서류 ※ 자세한 사항은 첨부파일 참고 필수","http://www.gongju.go.kr","2023-10-16","2023-11-03"
"1,634","(재)여수시인재육성장학회","여수산단장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","재산세 과세액 40만원 이하인자.(고등학생만 적용-1년 부.모합산) * 자세한 사항은 첨부파일 참고","1500000원","여수시에 소재한 고등학교에 재학 중인 자여수지역 및 전국 2년제 이상 대학 재학생","주삼동/ 삼일동/ 묘도동에 6개월 이상 실제 거주하고 있는 시민 또는 시민의 자녀.","신청접수>심사 및 확정통보>장학증서수여식>장학금지급","7명","공고일 현재 국가장학금과 교내장학금을 제외한 타 장학금 비 수혜자 * 자세한 사항은 첨부파일 참고","해당없음","장학금신청서<별지 제1호>정보제공동의서<별지 제2호>직전학기 성적증명서 1부재학증명서 1부학자금지원 소득구간 산정표(해당자만 제출)주민등록등본통장사본(본인 및 보호자 중 선택) * 자세한 사항은 첨부파일 참고","http://www.yeosuinjae.com/main/","2023-10-18","2023-11-02"
"1,635","계양구 인재양성장학재단","진학장학금","지자체","장학금","성적우수","해당없음","해당없음","해당없음","(학업우수)대학수학능력평가결과 언어/ 외국어/ 수리영역의 합이 7등급이내수시모집대상은 고등학교 3학년 성적 과목별 등급 평균 2등급 이내인 자(드림)대학수학능력평가결과 언어/ 외국어/ 수리영역의 합이 13등급 이내수시모집대상은 고등학교 3학년 성적 과목별 등급 평균 5등급 이내인 자","(드림)소득분위 8분위 이내의 대학생","최대 3000000원","대학생 1학년","공고일 현재 본인 또는 학부모가 계양구에 1년 이상 주민등록 주소지를 두고 거주하고 있는 구민","생활정도 30%/ 성적 60%/ 장기거주 5%/ 다자녀 5%","00명","동일연도 내 재단에서 실시하는 장학금 중복 선발 불가한 가구 1인 신청장학생 선발 후 재학 상태가 아닌 경우(퇴학/ 정학처분 및 휴학) 지급정지 및 환수실 납부 등록금이 30만원 미만인 경우는 장학금 지급에서 제외","해당없음","장학금 신청서개인정보 수집이용 제공 및 조회 동의서신청인 서약서신청자의 주민등록초본부 또는 모 기준의 주민등록초본부 또는 모 기준의 가족관계증명서재학증명서등록금 납부 내역서학자금 지원 소득구간 통지서고등학교 졸업증명서(해당자만)고등학교 3학년 성적표(생활기록부) 또는 수능성적표 * 자세한 내용은 첨부파일 참고","http://www.gyeyang.go.kr","2023-04-17","2023-04-21"
"1,636","재단법인 파주시행복장학회","국가유공자 후손 장학생","지자체","장학금","기타","해당없음","해당없음","해당없음","해당없음","해당없음","1000000원 * 생활비 명목","파주시 관내 고등학교에 졸업(예정) 후 국내대학에 진학한 학생 중 분야별 선발 기준에 적합하고/ 신청제외 사유가 없는 학생대학재학생","장학생 선발 공고일 현재 주민등록상 부/모 세대주와 학생이 3년 이상 파주시에 계속 거주하고 있는 시민의 자녀","해당없음","고등/대학생 : 10명","중복지원 불가","보훈단체 추천","장학금 지급대상자 추천서장학금 신청서개인정보 제공 동의서재학증명서학생과 세대주 주민등록초본 개인별 각 1통가족관계증명서각종 증빙서류 * 자세한 사항은 홈페이지 참고","http://www.happypaju.or.kr","2023-03-06","2023-03-24"
"1,637","（재）인산장학문화재단","장학생","민간(기타)","장학금","소득구분","4년제(5~6년제포함)","해당없음","해당없음","3개학년 평점 평균이 B학점 이상","해당없음","등록금 전액 (결격사유 없을 시 정규학기 계속 지원)","가계 곤란한 자","해당없음","해당없음","00명","휴학자 제외","해당없음","신청서서약서 추천서자기소개서 학업계획서성적증명서재산세 과세 납입증명원주민등록등본","해당없음","2023-02-22","2023-02-23"
"1,638","재단법인 유당문화재단","장학생","민간(기타)","장학금","기타","해당없음","해당없음","해당없음","해당없음","해당없음","1000000원 (변동가능)","대학 신입 또는 재학생","해당없음","해당없음","25명 내외","해당없음","총장 또는 학장","유당문화재단 장학생 추천서개인정보수집이용 및 3자제공 동의서사진등록금 납부 고지서 및 납부영수증전학기 성적증명서학생통장사본","http://udang.kr","2023-02-27","2023-03-30"
"1,639","(재)유한재단","생활비 장학금","민간(기업)","장학금","소득구분","해당없음","해당없음","해당없음","해당없음","2023년 1학기 기준 5구간 이내","해당없음","결손(한부모가족 등)가정 또는 다문화 가정의 자녀","해당없음","해당없음","00명","해당없음","해당없음","유한재단 장학금 지원서 해당자 서류 * 자세한 사항 홈페이지 참조","http://www.yoohanfoundation.or.kr","2023-02-10","2023-02-17"
"1,640","재단법인 당진장학회","지정장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","각 2000000원","신성대/ 세한대 총장 추천자","공고일 현재 학생 또는 보호자가 당진시에 주민등록을 두고 1년 이상 계속하여 당진에 거주하고 있는 자","장학금 신청 > 장학생 선발심의위원회 심사 > 이사회 확정","신성대: 45명세한대: 20명","휴학생/ 유학생/ 사이버대학생 제외국가나 기관/ 대학으로부터 지원받은 장학금과 중복수혜 불가","각 대학 총장 추천","신청서개인정보수집동의서본인 또는 부모의 주민등록등본/ 초본지방세 완납증명서 부 모 각 1부통장사본","http://dangjin.go.kr/","2022-03-10","2022-03-24"
"1,641","(재단법인)아산사회복지재단","보건의료정책분야대학원장학생","민간(기업)","장학금","성적우수","일반대학원","해당없음","해당없음","성적 평점이 4.0/4.5 이상인 학생 (3.82/4.3 이상) * 입학예정자 : 입학 전 최종학력 성적평점 * 재학생 : 직전학기 포함 성적평점","해당없음","연 10000000원 정액지원 (학기당 5000000원) * 학술활동비 생활비 등으로 사용가능하며 학기별 학교로 송금 * 교내장학금 및 조교장학금 중복 수헤 가능 * 단 기업체 및 외부 타 기관의 장학금 중복 수혜 불가","국내대학의 석사과정/ 박사과정/ 석·박사 통합과정 입학 예정자 또는 재학생보건의료정책분야를 연구하는 대학원생대한민국 국적 보유자국내 대학(대학원) 학위 취득자 또는 취득 예정자타 기관(민간재단/ 기업체 등) 장학금 수혜 대상이 아닌 학생","해당없음","해당없음","0명","해외 영주권자 및 이중국적자 제외취업 활동 금지교내 징계/ 학업 중단 제외 * 자세한 사항은 홈페이지 참조","지도교수 추천","지도교수 추천서재학증명서 또는 입학 예정증명서졸업(예정)증명서성적증명서연구실적(해당자)개인정보 수집·이용동의서(학부모) * 기타 선택제출서류 및 자세한 사항은 홈페이지 참조","https://www.asanfoundaton.or.kr","2023-11-01","2023-11-17"
"1,642","재단법인 우양","아띠장학금","대학교","장학금","기타","해당없음","해당없음","해당없음","해당없음","해당없음","한 학기당 1250000원 (이중수혜가능)","100% 졸업생 및 재학생 후원금으로 1년간 '나도 후원자'의 개념으로 지원되는 학업장려금마루·나래·다솜·드림장학 2차 서류심사에서 탈락한 자 중 선발","해당없음","해당없음","해당없음"," * 자세한 내용은 홈페이지를 참조바람","해당없음","자세한 내용은 홈페이지를 참조 바람","www.wooyang.org","2022-12-29","2023-01-17"
"1,643","남북하나재단","제3국출생탈북자녀장학생","민간(기타)","장학금","기타","해당없음","해당없음","해당없음","12학점 이상 수강등록한 대학생","해당없음","2000000원 * 외부 기부금으로 일회성 성격의 장학금 * 생활비 보조 장학금","보호결정을 받은 북한이탈주민의 자녀모집공고 마감일 현재 국내 대학(일반·전문) 재학생대한민국 국적보유자로서 기본증명서(상세) 상 제3국 출생 증명이 가능한 자남북하나재단 장학금을 받지 않았던 자","해당없음","정량평가 및 정성평가 종합점수 고득점 순으로 선발 * 자세한 사항은 첨부파일 참고","50명 내외","부문별 중복신청 불가/ 1인당 1부문만 신청 가능휴학 중인 자/ 정규학기를 초과한 자연속지원제외직전 6개월 동안 장학금 수혜를 받은 자학점은행제/ 평생교육시설 등의 교육기관에 재학 중인 자교육부 지정 재정지원 제한 유형Ⅱ 대학생정학 이상의 징계처분을 받은 자 * 자세한 사항은 첨부파일 참조","해당없음","진로·진학검사지장학금신청서학업계획서서약서개인정보동의서북한이탈주민확인서주민등록등본가족관계증명서(상세)통장사본(본인)소득증빙서류 (택1)기본증명서(상세)재학증명서수강등록증빙성적증명서장애인증명서 (선택) * 자세한 사항은 첨부파일 및 홈페이지 참고","http://www.koreahana.or.kr","2023-04-06","2023-04-25"
"1,644","사단법인봉화군교육발전위원회","특기장학생","지자체","장학금","특기자","해당없음","해당없음","해당없음","해당없음","해당없음","개인 1500000원 이내단체 2500000원 이내 * 자세한 사항은 첨부파일 참고","전국단위 또는 도단위 대회 3위 이내 입상자","신청일 현재 본인 또는 부모(보호자)가 봉화군에 주민등록 주소지를 두고 있는 군민","장학위원회 심의 의결을 거쳐 선발 * 자세한 사항은 첨부파일 참고 ","개인 40명단체 6팀 * 초/ 중/ 고 포함","이장/ 새마을지도자/ 의용소방대/ 저소득층 자녀 장학금 대상자는 신청 불가학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받고 있지 아니할 것공고일 현재 휴학생/ 해외유학생 제외","해당없음","장학생 추천서성적증명서주민등록등본장학금 지급신청서서약서개인정보 제공 및 수집 동의서가족관계증명서(본인/ 부모 주소가 다른 경우 제출)입상증명서 사본건강보험료 납부확인서건강보험증 사본 * 자세한 사항은 첨부파일 참고","http://www.bonghwa.go.kr","2023-04-13","2023-05-04"
"1,645","재단법인 울산연구원","우수장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","직전학기 취득학점이 12학점 이상/ 성적이 4.0/4.5 또는 3.7/4.3 이상인 학생","해당없음","1500000원","울산시 소재 고등학교 졸업","공고일 현재 본인 또는 보호자 주민등록상 울산거주울산시 소재 고등학교 졸업","해당없음","120명","장학금 중복지원은 가능하나 선발될 경우 장학금 중 한 종류만 수혜가능타 장학금 수혜로 인한 중복지원 불가 * 자세한 사항은 홈페이지 참고고","해당없음","장학금 지원 신청서신청인 서약서 개인정보 수집·이용·제공 및 조회 동의서주민등록 등본가족관계증명서등록금 납입 영수증재학증명서등록급 납입 영수증 직전학기 성적 증명서통장사본학자금지원구간통지서고등학교 졸업증명서 * 자세한 사항은 홈페이지 참고 ","uill.uri.re.kr","2023-10-10","2023-10-27"
"1,646","영동군민장학회","영동인재장학금","지자체","장학금","지역연고","해당없음","해당없음","해당없음","대학(원격대학 제외)에 재학 중 또는 복학한 자로서 대학교 직전학기 성적 백분위 환산점수가 95점 이상인 자 * 우수 장학금 신청자 중 성적 조건(95점 이상) 해당 시 성적이 우수한 순으로 지급급","해당없음","2000000원","해당없음","장학생 신청이로부터 이전 6개월 이상 계속 영동군에 거주하고 있는 군민 또는 그 자녀(조손가정 포함)","성적 100%","35명","영동군민장학회 장학생으로 선발되어 재학중 2회 이상 장학금을 받은 자자올해에 도비 또는 군비로 지급하는 다른 장학금을 받은 자이외의 타 기관의 장학생일 경우는 해당 기관에 중복수혜 가능 여부를 문의하여야 함","해당없음","장학생 신청서개인정보 수집이용 동의서주민등록등본주민등록초본가족관계증명서직전학기 성적증명서재학증명서","https://www.yd21.go.kr","2023-09-08","2023-09-20"
"1,647","(재)한국고등교육재단","동아시아연구장학생","민간(기업)","장학금","기타","해당없음","해당없음","해당없음","해당없음","해당없음","국내 대학원 등록금 실비 지원박사과정 연간 1200만원 석사과정 연간 1000만원 학업장려금 지원","대한민국 국적 보유자2023년 6월 기준 국내 대학원 석사과정 재학생 및 수료생으로서 석사학위 취득 후 박사과정 진학 희망자2023년 3월 국내 대학원 박사과정 입학자 또는 2023년 9월 국내 대학원 박사과정 입학 예정자 * 둘 중 택 1","해당없음","해당없음","해당없음","해당없음","해당없음","성적증명서자기소개서공인어학성적(선택) * 자세한 사항은 홈페이지 참고","http://www.kfas.or.kr","2023-07-06","2023-07-21"
"1,648","(재)한국고등교육재단","인재림 장학","민간(기업)","장학금","기타","해당없음","해당없음","해당없음","해당없음","해당없음","프로그램 교육비 전액지원장학금 1년차 학기당 250만원2년차 SOUL 프로젝트 활동비 지원( 팀별 최대 1000만원) 프로그램을 성공적으로 마친 수료생에게는 250만원 지급","국내 4년제 대학 재학생 및 휴학생(2학기 이상 이수한 자)2년간 프로그램 참여가 가능한 자(여름/겨울방학 포함)","해당없음","해당없음","20명 내외 ","해당없음","해당없음","온라인 지원서자기소개서진로계획서성적표(최근 학기까지)TOEIC/ TOEIC Speaking/ TOEFL/ OPIc/ IELTS/ TEPS 등 유효기간 이내의 공인영어성적표 (택 1)(선택) 포트폴리오","http://www.kfas.or.kr","2022-11-16","2022-12-21"
"1,649","재단법인논산시장학회","다자녀가구장학생","지자체","장학금","지역연고","해당없음","해당없음","해당없음","재학생 : 직전 두 학기의 성적평점 평균이 80점 이상에 해당하는 자신입생 : 고교 3학년 국·영·수 평균 등급이 5등급 이내인 자","해당없음","2000000원 ( 생활비성 )","정규대학교(2년제 포함) 신입생 또는 재학생 중 출산 또는 입양으로 3명 이상 자녀를 양육하는 가정의 자녀로 직적 두 학기의 성적평점 평균이 80점 이상에 해당하는 자 * 신입생은 고교3학년 국·영·수 평균이 5등급 이내인 자","논산시에 1년 이상 주소를 두고 실제 거주하는 시민 또는 시민의 자녀","해당없음","30명 ","등록금 전액을 초과하여 국가장학금/ 타 장학금 및 학자금 대출을 수혜할 수 없음","해당없음","장학생 신청서주민등록등본가족관계증명서(해당자)보호자 또는 본인의 통장 사본재학증명서 또는 입학 증명 서류 부 또는 모 기준의 가족관계증명서성적증명서 ( 재학생 : 직전 두 학기 성적증명서 / 신입생 : 고교 3학년 국·영·수 성적증명서) * 자세한 사항은 첨부파일 참고","http://www.nonsan.go.kr","2022-01-24","2022-01-28"
"1,650","경상남도장학회","대학입학생 장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/기술대학/전문대(2~3년제)","해당없음","해당없음","내신성적/ 수능성적 (둘 중 하나의 조건 충족)23년도 수능/ 국/ 영/ 수 2개과목 평균 4등급 이내고교 3-1학기/ 국/영/수/사/과 4개과목 중 3과목 평균 등급 4등급이내 * 교과 과목이 2개 이상일 경우 1개 등급 기재","법정저소득층 기준의 자녀 또는 '22년 경상남도 교육지원사업' 대상자 또는 소득인정기준 중위소득 70%이하 ","최대 2000000원 ","2023년도 대학 입학생","보호자 현재 경상남도 1년 이상 거주본인 경상남도 소재 고교 졸업","방문/우편접수","250명 ","해당없음","해당없음","장학금신청서개인정보 수집/이용 동의서대학수학능력시험 성적통지표 또는 고등학교 3-1학기 성적증명서대학재학증명서자기소개서학생 명의 통장 사본전 세대원의 건강보험 납부 확인서 * 자세한 사항은 홈페이지 참고","www.gyeongam.go.kr","2023-03-13","2023-03-31"
"1,651","국민연금공단","희망잇는장학금","관계부처","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","해당없음","해당없음","직전 정규학기 백분위 80점 이상 이수직전 정규학기 최소 12학점 이상 이수","학자금 지원구간 3구간 이하인 자 ","1500000원","취약계층 국민연금수급자 또는 그 자녀(손자녀)로서 중.고.대학교에 재학 중인 자 유족/장애연금 수급자 또는 그 수급자의 자녀노령연금 수급자의 자녀 ","해당없음","(1차) 가계소득(60점) + 성적(40점)/ 1.5배수 선발(2차) 자기소개서(100점) * 동점자 처리기준: 학자금 지원구간 낮은 자 > 성적상위자 > 연소자","100명","해당없음","해당없음","자기소개서 1부 (한국장학재단 홈페이지 게시)국민연금 수급증명서(지급내역) 1부 * 모든 서류는 신청일 기준 1개월 이내에 발급된 것만 인정 * 자세한 사항은 첨부파일 참고","http://www.nps.or.kr","2023-07-10","2023-08-18"
